technology,round_trip_efficiency,specific_energy_wh_kg,cycle_life,self_discharge_pct_day,note
Li-ion Battery,0.9,250,5000,0.1,Terrestrial grid-scale baseline
Regenerative Fuel Cell (RSOFC),0.6,800,10000,0.01,"Higher energy density, lower RTE"
