scenario,shortfall_hours,reliability
6p Solar-only,14391.000000000142,0.12425149700597937
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14243.40000000014,0.1332335329341232
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14858.400000000149,0.09580838323352381
6p Solar-only,14095.800000000138,0.14221556886226705
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14932.20000000015,0.09131736526945189
6p Solar-only,14169.600000000139,0.13772455089819513
6p Solar-only,14169.600000000139,0.13772455089819513
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14858.400000000149,0.09580838323352381
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14145.000000000138,0.13922155688621907
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14095.800000000138,0.14221556886226705
6p Solar-only,14514.000000000144,0.11676646706585947
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14907.60000000015,0.09281437125747594
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14391.000000000142,0.12425149700597937
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14095.800000000138,0.14221556886226705
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14858.400000000149,0.09580838323352381
6p Solar-only,14169.600000000139,0.13772455089819513
6p Solar-only,14095.800000000138,0.14221556886226705
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,15375.000000000156,0.06437125748502037
6p Solar-only,14292.60000000014,0.13023952095807523
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14760.000000000147,0.10179640718561977
6p Solar-only,14415.600000000142,0.12275449101795533
6p Solar-only,14464.800000000143,0.11976047904190745
6p Solar-only,14268.00000000014,0.13173652694609927
6p Solar-only,14538.600000000144,0.11526946107783553
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14341.800000000141,0.12724550898202724
6p Solar-only,14194.200000000139,0.1362275449101712
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14095.800000000138,0.14221556886226705
6p Solar-only,14464.800000000143,0.11976047904190745
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14243.40000000014,0.1332335329341232
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14415.600000000142,0.12275449101795533
6p Solar-only,14415.600000000142,0.12275449101795533
6p Solar-only,14268.00000000014,0.13173652694609927
6p Solar-only,14440.200000000143,0.12125748502993139
6p Solar-only,14194.200000000139,0.1362275449101712
6p Solar-only,14391.000000000142,0.12425149700597937
6p Solar-only,14415.600000000142,0.12275449101795533
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14366.400000000142,0.1257485029940033
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14194.200000000139,0.1362275449101712
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14218.80000000014,0.13473053892214715
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14071.200000000137,0.14371257485029099
6p Solar-only,14292.60000000014,0.13023952095807523
6p Solar-only,14292.60000000014,0.13023952095807523
6p Solar-only,15129.000000000153,0.07934131736526007
6p Solar-only,14071.200000000137,0.14371257485029099
