sol,solar_efficiency_factor
0,1.0
1,0.991701292638876
2,0.9834714538216175
3,0.9753099120283327
4,0.967216100482006
5,0.9591894571091383
6,0.9512294245007141
7,0.9433354498734923
8,0.9355069850316179
9,0.9277434863285531
10,0.9200444146293234
11,0.9124092352730779
12,0.9048374180359597
13,0.8973284370942842
14,0.889881770988024
15,0.8824969025845956
16,0.8751733190429476
17,0.8679105117779465
18,0.8607079764250579
19,0.8535652128053212
20,0.8464817248906142
21,0.8394570207692075
22,0.8324906126116028
23,0.8255820166366563
24,0.818730753077982
25,0.8119363461506351
26,0.8051983240180707
27,0.7985162187593772
28,0.7918895663367818
29,0.7853179065634254
30,0.778800783071405
31,0.7723377432800812
32,0.7659283383646489
33,0.7595721232249687
34,0.753268656454657
35,0.7470175003104328
36,0.7408182206817181
37,0.7346703870604919
38,0.7285735725113932
39,0.7225273536420724
40,0.7165313105737895
41,0.7105850269122549
42,0.7046880897187137
43,0.6988400894812685
44,0.6930406200864417
45,0.6872892787909725
46,0.6815856661938482
47,0.6759293862085687
48,0.6703200460356395
49,0.6647572561352946
50,0.659240630200444
51,0.6537697851298475
52,0.64834434100151
53,0.6429639210462976
54,0.6376281516217736
55,0.6323366621862501
56,0.6270890852730564
57,0.6218850564650203
58,0.616724214369161
59,0.6116062005915922
60,0.6065306597126336
61,0.601497239262129
62,0.5965055896949686
63,0.5915553643668153
64,0.586646219510032
65,0.5817778142098086
66,0.576949810380487
67,0.5721618727420833
68,0.5674136687970041
69,0.5627048688069559
70,0.5580351457700473
71,0.5534041753980795
72,0.5488116360940267
73,0.5442572089297028
74,0.539740577623613
75,0.5352614285189906
76,0.5308194505620143
77,0.5264143352802075
78,0.5220457767610165
79,0.5177134716305661
80,0.5134171190325925
81,0.5091564206075496
82,0.5049310804718902
83,0.5007408051975177
84,0.4965853037914099
85,0.4924642876754101
86,0.4883774706661875
87,0.48432456895536286
88,0.48030530108979974
89,0.4763193879520589
90,0.4723665527410151
91,0.46844652095263445
92,0.4645590203609119
93,0.46070378099896625
94,0.4568805351402925
95,0.4530890172801694
96,0.449328964117222
97,0.4456001145351362
98,0.44190220958452575
99,0.4382349924649497
100,0.43459820850707864
101,0.4309916051550096
102,0.4274149319487271
103,0.42386794050670984
104,0.42035038450868234
105,0.41686201967850883
106,0.41340260376722976
107,0.40997189653623883
108,0.40656965974059955
109,0.40319565711250055
110,0.3998496543448478
111,0.39653141907499334
112,0.39324072086859874
113,0.38997733120363276
114,0.3867410234545017
115,0.3835315728763112
116,0.38034875658925904
117,0.3771923535631574
118,0.3740621446020831
119,0.3709579123291559
120,0.3678794411714428
121,0.3648265173449871
122,0.361798928839963
123,0.358796465405952
124,0.3558189185373423
125,0.3528660814588493
126,0.34993774911115577
127,0.34703371813667183
128,0.3441537868654128
129,0.3412977553009941
130,0.33846542510674266
131,0.33565659959192334
132,0.33287108369808
133,0.3301086839854894
134,0.32736920861972807
135,0.3246524673583502
136,0.32195827153767637
137,0.31928643405969187
138,0.31663676937905366
139,0.31400909349020517
140,0.3114032239145981
141,0.3088189796880203
142,0.3062561813480285
143,0.30371465092148586
144,0.3011942119122025
145,0.29869468928867876
146,0.29621590947195015
147,0.2937577003235332
148,0.29131989113347145
149,0.28890231260848026
150,0.2865047968601905
151,0.28412717739348947
152,0.28176928909495874
153,0.2794309682214077
154,0.2771120523885027
155,0.2748123805594901
156,0.27253179303401304
157,0.27027013143702133
158,0.26802723870777295
159,0.265802959088927
160,0.26359713811572716
161,0.26140962260527495
162,0.2592402606458919
163,0.2570889015865701
164,0.25495539602651035
165,0.25283959580474685
166,0.25074135398985836
167,0.2486605248697645
168,0.24659696394160682
169,0.24455052790171378
170,0.24252107463564906
171,0.2405084632083425
172,0.23851255385430278
173,0.23653320796791158
174,0.23457028809379799
175,0.232623657917293
176,0.23069318225496316
177,0.22877872704522276
178,0.22688015933902397
179,0.22499734729062423
180,0.22313016014843015
181,0.2212784682459176
182,0.21944214299262696
183,0.21762105686523323
184,0.21581508339869013
185,0.21402409717744783
186,0.21224797382674343
187,0.21048659000396377
188,0.20873982339008
189,0.207007552681153
190,0.20528965757990966
191,0.20358601878738863
192,0.2018965179946558
193,0.20022103787458823
194,0.1985594620737265
195,0.19691167520419442
196,0.19527756283568612
197,0.19365701148751924
198,0.19204990862075447
199,0.19045614263038022
200,0.1888756028375622
201,0.18730817948195738
202,0.18575376371409172
203,0.18421224758780108
204,0.182683524052735
205,0.18116748694692247
206,0.1796640309893997
207,0.17817305177289874
208,0.17669444575659707
209,0.17522811025892707
210,0.17377394345044544
211,0.1723318443467617
212,0.17090171280152514
213,0.16948344949947042
214,0.16807695594952046
215,0.16668213447794686
216,0.16529888822158686
217,0.16392712112111676
218,0.1625667379143811
219,0.1612176441297771
220,0.15987974607969424
221,0.15855295085400803
222,0.15723716631362794
223,0.15593230108409875
224,0.15463826454925514
225,0.1533549668449288
226,0.15208231885270787
227,0.1508202321937481
228,0.1495686192226354
229,0.14832739302129935
230,0.14709646739297716
231,0.14587575685622772
232,0.14466517663899542
233,0.14346464267272308
234,0.14227407158651392
235,0.14109338070134184
236,0.13992248802430973
237,0.1387613122429556
238,0.13760977271960576
239,0.13646778948577495
240,0.13533528323661304
241,0.13421217532539756
242,0.1330983877580722
243,0.13199384318783056
244,0.13089846490974466
245,0.12981217685543833
246,0.12873490358780457
247,0.12766657029576686
248,0.12660710278908394
249,0.12555642749319756
250,0.12451447144412332
251,0.1234811622833835
252,0.12245642825298224
253,0.12144019819042226
254,0.12043240152376304
255,0.11943296826671994
256,0.11844182901380401
257,0.11745891493550216
258,0.11648415777349727
259,0.11551748983592802
260,0.11455884399268804
261,0.11360815367076406
262,0.11266535284961278
263,0.11173037605657606
264,0.11080315836233419
265,0.1098836353763969
266,0.10897174324263172
267,0.10806741863482958
268,0.10717059875230704
269,0.1062812213155452
270,0.10539922456186462
271,0.10452454724113631
272,0.10365712861152813
273,0.10279690843528666
274,0.10194382697455395
275,0.10109782498721907
276,0.10025884372280401
277,0.0994268249183838
278,0.09860171079454041
279,0.09778344405135034
280,0.09697196786440533
281,0.0961672258808663
282,0.09536916221554988
283,0.09457772144704746
284,0.0937928486138765
285,0.09301448921066373
286,0.09224258918436
287,0.09147709493048661
288,0.09071795328941275
289,0.08996511154266379
290,0.08921851740926035
291,0.08847811904208755
292,0.08774386502429457
293,0.08701570436572398
294,0.08629358649937076
295,0.08557746127787064
296,0.08486727897001767
297,0.08416299025731061
298,0.08346454623052806
299,0.0827718983863319
300,0.08208499862389904
301,0.08140379924158103
302,0.08072825293359145
303,0.08005831278672078
304,0.07939393227707844
305,0.07873506526686207
306,0.07808166600115338
307,0.07743368910474077
308,0.07679108957896827
309,0.07615382279861055
310,0.07552184450877399
311,0.07489511082182336
312,0.0742735782143341
313,0.07365720352406978
314,0.07304594394698477
315,0.07243975703425168
316,0.0718386006893135
317,0.07124243316496025
318,0.0706512130604298
319,0.07006489931853287
320,0.06948345122280174
321,0.06890682839466276
322,0.06833499079063227
323,0.0677678986995357
324,0.06720551273974995
325,0.06664779385646848
326,0.06609470331898912
327,0.06554620271802451
328,0.06500225396303472
329,0.06446281927958203
330,0.06392786120670775
331,0.06339734259433073
332,0.06287122660066746
333,0.062349476689673604
334,0.06183205662850678
335,0.06131893048501035
336,0.060810062625218146
337,0.060305417710879834
338,0.059804960697006894
339,0.05930865682943891
340,0.05881647164243006
341,0.05832837095625568
342,0.05784432087483863
343,0.05736428778339538
344,0.05688823834610168
345,0.05641613950377751
346,0.055947958471591314
347,0.055483662736783255
348,0.05502322005640739
349,0.054566598455092534
350,0.054113766222821755
351,0.05366469191273028
352,0.05321934433892165
353,0.052777692574302044
354,0.05233970594843254
355,0.05190535404539922
356,0.05147460670170092
357,0.05104743400415455
358,0.05062380628781778
359,0.050203694133928944
360,0.04978706836786409
361,0.04937390005711091
362,0.048964160509259565
363,0.04855782127001011
364,0.048154854121196536
