shortfall_hours,max_shortfall_kw,storm_sols,reliability,sim,scenario
0.0,0.0,12,1.0,121,6p Solar+Fission
0.0,0.0,15,1.0,122,6p Solar+Fission
0.0,0.0,0,1.0,123,6p Solar+Fission
0.0,0.0,34,1.0,124,6p Solar+Fission
0.0,0.0,14,1.0,125,6p Solar+Fission
0.0,0.0,34,1.0,126,6p Solar+Fission
0.0,0.0,5,1.0,127,6p Solar+Fission
0.0,0.0,4,1.0,128,6p Solar+Fission
0.0,0.0,12,1.0,129,6p Solar+Fission
0.0,0.0,40,1.0,130,6p Solar+Fission
0.0,0.0,4,1.0,131,6p Solar+Fission
0.0,0.0,19,1.0,132,6p Solar+Fission
0.0,0.0,24,1.0,133,6p Solar+Fission
0.0,0.0,21,1.0,134,6p Solar+Fission
0.0,0.0,27,1.0,135,6p Solar+Fission
0.0,0.0,0,1.0,136,6p Solar+Fission
0.0,0.0,17,1.0,137,6p Solar+Fission
0.0,0.0,37,1.0,138,6p Solar+Fission
0.0,0.0,10,1.0,139,6p Solar+Fission
0.0,0.0,71,1.0,140,6p Solar+Fission
0.0,0.0,3,1.0,141,6p Solar+Fission
0.0,0.0,25,1.0,142,6p Solar+Fission
0.0,0.0,13,1.0,143,6p Solar+Fission
0.0,0.0,16,1.0,144,6p Solar+Fission
0.0,0.0,51,1.0,145,6p Solar+Fission
0.0,0.0,5,1.0,146,6p Solar+Fission
0.0,0.0,1,1.0,147,6p Solar+Fission
0.0,0.0,30,1.0,148,6p Solar+Fission
0.0,0.0,42,1.0,149,6p Solar+Fission
0.0,0.0,7,1.0,150,6p Solar+Fission
0.0,0.0,15,1.0,151,6p Solar+Fission
0.0,0.0,9,1.0,152,6p Solar+Fission
0.0,0.0,65,1.0,153,6p Solar+Fission
0.0,0.0,8,1.0,154,6p Solar+Fission
0.0,0.0,4,1.0,155,6p Solar+Fission
0.0,0.0,40,1.0,156,6p Solar+Fission
0.0,0.0,23,1.0,157,6p Solar+Fission
0.0,0.0,6,1.0,158,6p Solar+Fission
0.0,0.0,3,1.0,159,6p Solar+Fission
0.0,0.0,0,1.0,160,6p Solar+Fission
0.0,0.0,7,1.0,161,6p Solar+Fission
0.0,0.0,3,1.0,162,6p Solar+Fission
0.0,0.0,7,1.0,163,6p Solar+Fission
0.0,0.0,22,1.0,164,6p Solar+Fission
0.0,0.0,30,1.0,165,6p Solar+Fission
0.0,0.0,35,1.0,166,6p Solar+Fission
0.0,0.0,5,1.0,167,6p Solar+Fission
0.0,0.0,14,1.0,168,6p Solar+Fission
0.0,0.0,18,1.0,169,6p Solar+Fission
0.0,0.0,26,1.0,170,6p Solar+Fission
0.0,0.0,35,1.0,171,6p Solar+Fission
24.6,17.51743659165699,9,0.9985029940119761,172,6p Solar+Fission
0.0,0.0,7,1.0,173,6p Solar+Fission
0.0,0.0,36,1.0,174,6p Solar+Fission
0.0,0.0,17,1.0,175,6p Solar+Fission
0.0,0.0,36,1.0,176,6p Solar+Fission
0.0,0.0,12,1.0,177,6p Solar+Fission
0.0,0.0,12,1.0,178,6p Solar+Fission
0.0,0.0,6,1.0,179,6p Solar+Fission
0.0,0.0,23,1.0,180,6p Solar+Fission
0.0,0.0,15,1.0,181,6p Solar+Fission
0.0,0.0,11,1.0,182,6p Solar+Fission
0.0,0.0,33,1.0,183,6p Solar+Fission
0.0,0.0,13,1.0,184,6p Solar+Fission
0.0,0.0,5,1.0,185,6p Solar+Fission
0.0,0.0,25,1.0,186,6p Solar+Fission
0.0,0.0,34,1.0,187,6p Solar+Fission
0.0,0.0,33,1.0,188,6p Solar+Fission
0.0,0.0,11,1.0,189,6p Solar+Fission
0.0,0.0,6,1.0,190,6p Solar+Fission
0.0,0.0,2,1.0,191,6p Solar+Fission
0.0,0.0,0,1.0,192,6p Solar+Fission
0.0,0.0,5,1.0,193,6p Solar+Fission
0.0,0.0,2,1.0,194,6p Solar+Fission
24.6,16.82917541330057,7,0.9985029940119761,195,6p Solar+Fission
0.0,0.0,47,1.0,196,6p Solar+Fission
0.0,0.0,15,1.0,197,6p Solar+Fission
0.0,0.0,35,1.0,198,6p Solar+Fission
0.0,0.0,35,1.0,199,6p Solar+Fission
0.0,0.0,23,1.0,200,6p Solar+Fission
0.0,0.0,29,1.0,201,6p Solar+Fission
0.0,0.0,16,1.0,202,6p Solar+Fission
0.0,0.0,8,1.0,203,6p Solar+Fission
0.0,0.0,9,1.0,204,6p Solar+Fission
0.0,0.0,16,1.0,205,6p Solar+Fission
0.0,0.0,49,1.0,206,6p Solar+Fission
0.0,0.0,0,1.0,207,6p Solar+Fission
0.0,0.0,32,1.0,208,6p Solar+Fission
0.0,0.0,26,1.0,209,6p Solar+Fission
0.0,0.0,39,1.0,210,6p Solar+Fission
0.0,0.0,24,1.0,211,6p Solar+Fission
0.0,0.0,27,1.0,212,6p Solar+Fission
0.0,0.0,36,1.0,213,6p Solar+Fission
0.0,0.0,19,1.0,214,6p Solar+Fission
0.0,0.0,23,1.0,215,6p Solar+Fission
0.0,0.0,2,1.0,216,6p Solar+Fission
24.6,16.03569353918026,69,0.9985029940119761,217,6p Solar+Fission
0.0,0.0,7,1.0,218,6p Solar+Fission
0.0,0.0,51,1.0,219,6p Solar+Fission
0.0,0.0,28,1.0,220,6p Solar+Fission
0.0,0.0,46,1.0,221,6p Solar+Fission
0.0,0.0,42,1.0,222,6p Solar+Fission
0.0,0.0,25,1.0,223,6p Solar+Fission
0.0,0.0,16,1.0,224,6p Solar+Fission
0.0,0.0,10,1.0,225,6p Solar+Fission
0.0,0.0,36,1.0,226,6p Solar+Fission
0.0,0.0,49,1.0,227,6p Solar+Fission
0.0,0.0,34,1.0,228,6p Solar+Fission
0.0,0.0,14,1.0,229,6p Solar+Fission
0.0,0.0,48,1.0,230,6p Solar+Fission
0.0,0.0,64,1.0,231,6p Solar+Fission
0.0,0.0,43,1.0,232,6p Solar+Fission
0.0,0.0,63,1.0,233,6p Solar+Fission
0.0,0.0,30,1.0,234,6p Solar+Fission
0.0,0.0,9,1.0,235,6p Solar+Fission
24.6,17.054866873644404,47,0.9985029940119761,236,6p Solar+Fission
0.0,0.0,41,1.0,237,6p Solar+Fission
0.0,0.0,6,1.0,238,6p Solar+Fission
0.0,0.0,9,1.0,239,6p Solar+Fission
0.0,0.0,10,1.0,240,6p Solar+Fission
0.0,0.0,18,1.0,241,6p Solar+Fission
0.0,0.0,33,1.0,242,6p Solar+Fission
0.0,0.0,3,1.0,243,6p Solar+Fission
0.0,0.0,2,1.0,244,6p Solar+Fission
0.0,0.0,32,1.0,245,6p Solar+Fission
0.0,0.0,11,1.0,246,6p Solar+Fission
0.0,0.0,3,1.0,247,6p Solar+Fission
0.0,0.0,46,1.0,248,6p Solar+Fission
0.0,0.0,22,1.0,249,6p Solar+Fission
0.0,0.0,36,1.0,250,6p Solar+Fission
0.0,0.0,46,1.0,251,6p Solar+Fission
0.0,0.0,17,1.0,252,6p Solar+Fission
0.0,0.0,3,1.0,253,6p Solar+Fission
0.0,0.0,16,1.0,254,6p Solar+Fission
0.0,0.0,11,1.0,255,6p Solar+Fission
0.0,0.0,11,1.0,256,6p Solar+Fission
0.0,0.0,9,1.0,257,6p Solar+Fission
0.0,0.0,8,1.0,258,6p Solar+Fission
0.0,0.0,11,1.0,259,6p Solar+Fission
0.0,0.0,22,1.0,260,6p Solar+Fission
0.0,0.0,4,1.0,261,6p Solar+Fission
0.0,0.0,15,1.0,262,6p Solar+Fission
0.0,0.0,95,1.0,263,6p Solar+Fission
0.0,0.0,57,1.0,264,6p Solar+Fission
0.0,0.0,27,1.0,265,6p Solar+Fission
0.0,0.0,13,1.0,266,6p Solar+Fission
0.0,0.0,10,1.0,267,6p Solar+Fission
0.0,0.0,49,1.0,268,6p Solar+Fission
0.0,0.0,36,1.0,269,6p Solar+Fission
0.0,0.0,24,1.0,270,6p Solar+Fission
0.0,0.0,28,1.0,271,6p Solar+Fission
0.0,0.0,14,1.0,272,6p Solar+Fission
0.0,0.0,10,1.0,273,6p Solar+Fission
0.0,0.0,15,1.0,274,6p Solar+Fission
0.0,0.0,54,1.0,275,6p Solar+Fission
0.0,0.0,9,1.0,276,6p Solar+Fission
0.0,0.0,49,1.0,277,6p Solar+Fission
0.0,0.0,33,1.0,278,6p Solar+Fission
0.0,0.0,2,1.0,279,6p Solar+Fission
0.0,0.0,11,1.0,280,6p Solar+Fission
